2,Повне найменування суб'єкта господарювання,company_name
3,Код за ЄДРПОУ,company_code
4,Юридичні особи (цілісні майнові комплекси) - назва об'єкта,rent_companies_object_name
5,"Юридичні особи (цілісні майнові комплекси) - балансова вартість,  тис. гривень",rent_companies_assets_value
6,"Cтруктурні підрозділи (філії, цехи, дільниці) - назва об'єкта",rent_divisions_object_name
7,"Cтруктурні підрозділи (філії, цехи, дільниці) - кв. метрів",rent_divisions_square
8,"Cтруктурні підрозділи (філії, цехи, дільниці) - балансова вартість,  тис. гривень",rent_divisions_assets_value
9,"нерухоме майно (булівлі, споруди, приміщення) та їх площа - назва об'єкта",rent_realty_object_name
10,"нерухоме майно (булівлі, споруди, приміщення) та їх площа - кв. метрів",rent_realty_square
11,"нерухоме майно (булівлі, споруди, приміщення) та їх площа - балансова вартість,  тис. гривень*",rent_realty_assets_value
12,інше окреме індивідуально визначене майно - назва об'єкта,rent_other_object_name
13,"інше окреме індивідуально визначене майно - балансова вартість,  тис. гривень",rent_other_assets_value
14,земельні ділянки - гектарів,rent_landpiece_squre
15,"земельні ділянки - балансова вартість,  тис. гривень",rent_landpiece_assets_value
16,Термін дії договору оренди,agreement_duration
