2,Назва підприємства,company_name
3,Код єдрпоу,company_code
4,Затведжено фін.план,fin_plan_adopted
5,Дата затвердження (погодження) фінансового плану,fin_plan_adoption_date
6, Чистий дохід (виручка) від реалізації продукції – план,sales_revenue_plan
7, Чистий дохід (виручка) від реалізації продукції – факт,sales_revenue_fact
9,Чистий фінансовий результат - план,finance_result_plan
10,Чистий фінансовий результат – факт,finance_result_fact
12,Відрахування частини чистого прибутку до державного бюджету – план,revenue_to_budget_plan
13,Відрахування частини чистого прибутку до державного бюджету – факт,revenue_to_budget_fact
15,Відрахування частини чистого прибутку на виплату дивідендів на державну частку – план,revenue_to_state_shareholder_plan
16,Відрахування частини чистого прибутку на виплату дивідендів на державну частку – факт,revenue_to_state_shareholder_fact
18,Капітальні інвестиції – план,capital_investments_plan
19,Капітальні інвестиції – факт,capital_investments_fact
